Company,Landed Date,Capital Investment,Incentivized Jobs, New Jobs ,Project Type,County,County Tier,FJTAP,FIDP,ED,Grants Total
Ultium Cells LLC,4/16/2021,"$2,367,000,000 ","1,700","1,300",Recruitment,Maury,1,,,"$78,000,000 ","$78,000,000 "
"Oracle America, Inc.",8/31/2021,"$1,350,000,000 ","5,989","8,500",Recruitment,Davidson,1,,,"$65,000,000 ","$65,000,000 "
ALSAC St Jude Children's,11/30/2016,"$1,000,000,000 ","1,800","1,800",Expansion,Shelby,2,,,"$36,000,000 ","$36,000,000 "
General Motors LLC,10/20/2020,"$1,717,000,000 ","2,000",0,Expansion,Maury,1,"$35,000,000 ",,,"$35,000,000 "
"Denso Manufacturing Tennessee, Inc.",10/6/2017,"$1,000,000,000 ","1,000","1,000",Expansion,Blount,1,"$1,500,000 ",,"$20,000,000 ","$21,500,000 "
AllianceBernstein L.P.,5/2/2018,"$71,518,867 ","1,250","1,050",Recruitment,Davidson,1,,,"$20,832,500 ","$20,832,500 "
"Tyson Foods, Inc.",11/20/2017,"$320,000,000 ","1,600","1,600",Expansion New Location,Gibson,2,,"$14,000,000 ","$6,000,000 ","$20,000,000 "
"Philips North America, Inc.",8/24/2017,"$39,940,000 ",815,815,Recruitment,Davidson,1,"$7,400,000 ",,"$4,212,500 ","$11,612,500 "
Life Technologies Corporation,9/7/2021,"$182,755,000 ","1,400","1,400",Recruitment,Wilson,1,,,"$10,500,000 ","$10,500,000 "
"Smile Direct Club, LLC",3/20/2019,"$217,000,000 ","2,010","2,010",Expansion,Davidson,1,"$6,550,000 ",,"$3,500,000 ","$10,050,000 "
Fedex Logistics,2/12/2019,"$44,134,000 ",689,689,Expansion New Location,Shelby,2,,,"$10,000,000 ","$10,000,000 "
"SK Food Group, Inc.",1/19/2023,"$205,160,000 ",840,840,Recruitment,Bradley,2,,,"$9,000,000 ","$9,000,000 "
"Smith & Wesson Brands, Inc.",9/30/2021,"$124,521,000 ",750,750,Recruitment,Blount,1,,,"$9,000,000 ","$9,000,000 "
"Bridgestone Americas Tire Operations, LLC",8/25/2022,"$550,000,000 ",380,380,Expansion,Warren,4,,,"$8,000,000 ","$8,000,000 "
Malibu Boats LLC,10/2/2023,"$75,000,000 ",770,770,Expansion New Location,Roane,2,,,"$7,700,000 ","$7,700,000 "
"Cosma International of America, Inc.",7/20/2023,"$516,288,800 ",750,750,Expansion New Location,Haywood,4,,,"$7,500,000 ","$7,500,000 "
Nokian Tyres U.S. Operations LLC,5/3/2017,"$360,000,000 ",400,400,Recruitment,Rhea,4,"$6,435,000 ",,,"$6,435,000 "
Ernst & Young LLP,11/13/2018,"$22,680,000 ",350,600,Expansion New Location,Davidson,1,"$6,000,000 ",,,"$6,000,000 "
General Motors LLC,4/27/2016,"$1,020,000,000 ","1,284",1431,Expansion,Maury,1,"$6,000,000 ",,,"$6,000,000 "
"Hankook Tire Co., Ltd",8/29/2022,"$611,955,918 ",397,397,Expansion,Montgomery,1,,,"$6,000,000 ","$6,000,000 "
ServiceMaster Company,6/2/2016,"$24,345,000 ",0,0,Expansion New Location,Shelby,2,,,"$5,500,000 ","$5,500,000 "
Tyson Foods Inc.,8/16/2017,"$80,115,000 ",561,330,Expansion,Obion,3,,,"$5,100,000 ","$5,100,000 "
"Axle Logistics, LLC",11/28/2023,"$37,869,055 ",651,651,Expansion,Knox,1,,,"$5,000,000 ","$5,000,000 "
Capgemini America Inc.,11/17/2021,"$20,150,000 ",500,500,Recruitment,Davidson,1,"$5,000,000 ",,,"$5,000,000 "
Hyosung Heavy Industries Corporation,12/13/2019,"$86,939,000 ",410,410,Recruitment,Shelby,2,,,"$5,000,000 ","$5,000,000 "
Mueller Water Products,11/13/2019,"$41,010,000 ",325,325,Expansion New Location,Marion,3,,,"$5,000,000 ","$5,000,000 "
"Oshkosh Manufacturing, LLC",7/12/2018,"$30,600,000 ",359,359,Recruitment,Jefferson,2,,,"$5,000,000 ","$5,000,000 "
Puritan Medical Products LLC,4/13/2021,"$220,000,000 ",0,632,Recruitment,Robertson,1,,,"$4,750,000 ","$4,750,000 "
"LG Electronics U.S.A., Inc.",2/27/2017,"$250,583,000 ",600,600,Recruitment,Montgomery,1,"$1,500,000 ","$3,032,150 ",,"$4,532,150 "
"Hanon Systems USA, LLC",8/1/2023,"$166,615,494 ",600,600,Recruitment,Loudon,1,,,"$4,500,000 ","$4,500,000 "
"Indigo Ag., Inc.",12/12/2018,"$6,592,820 ",700,700,Expansion New Location,Shelby,2,"$1,750,000 ",,"$2,750,000 ","$4,500,000 "
3M Company,1/20/2022,"$466,200,000 ",585,585,Expansion,Anderson,2,,,"$4,400,000 ","$4,400,000 "
Asurion Insurance Services Inc.,2/7/2018,"$288,000,000 ",400,400,Expansion New Location,Davidson,1,,,"$4,400,000 ","$4,400,000 "
"McNeilus Truck and Manufacturing, Inc",8/18/2022,"$52,750,000 ",330,230,Recruitment,Rutherford,1,,,"$4,300,000 ","$4,300,000 "
Royal Appliance Manufacturing Co. d/b/a TTI Floor Care North America,6/24/2020,"$20,000,000 ",500,500,Expansion,Putnam,2,,,"$4,000,000 ","$4,000,000 "
"Lowe's Companies, Inc.",7/28/2016,"$100,020,000 ",600,600,Recruitment,Robertson,1,,"$792,500 ","$3,000,000 ","$3,792,500 "
"Mohawk Industries, Inc.",6/21/2017,"$142,000,000 ",245,245,Expansion New Location,Dickson,1,,,"$3,636,718 ","$3,636,718 "
"CGI Federal, Inc",2/26/2021,"$26,865,845 ",300,300,Recruitment,Knox,1,"$3,500,000 ",,,"$3,500,000 "
"NTT DATA Services, LLC",3/15/2021,"$9,901,634 ",350,350,Recruitment,Davidson,1,"$3,500,000 ",,,"$3,500,000 "
"Mitsubishi Motors North America, Inc.",6/25/2019,"$18,250,000 ",202,202,Recruitment,Williamson,1,,,"$3,315,000 ","$3,315,000 "
Gr‰nges Americas Inc,9/15/2017,"$110,000,000 ",185,165,Expansion New Location,Carroll,4,,"$423,936 ","$2,775,000 ","$3,198,936 "
"Fiber Composites, LLC",1/26/2022,"$312,000,000 ",310,310,Recruitment,Maury,1,,,"$3,100,000 ","$3,100,000 "
"Amazon.com.dedc, LLC",10/18/2017,"$35,000,000 ",600,600,Expansion New Location,Shelby,2,,,"$3,000,000 ","$3,000,000 "
Ariens Company,6/2/2022,"$38,000,000 ",369,369,Recruitment,Lincoln,1,,,"$3,000,000 ","$3,000,000 "
Hankook & Company ES America Corporation,4/4/2018,"$136,000,000 ",200,200,Recruitment,Montgomery,1,,,"$3,000,000 ","$3,000,000 "
Helen of Troy,6/17/2021,"$160,000,000 ",350,350,Recruitment,Fayette,1,,,"$3,000,000 ","$3,000,000 "
Hydro-Gear Limited Partnership,5/18/2021,"$10,000,000 ",375,375,Recruitment,Carroll,4,,,"$3,000,000 ","$3,000,000 "
"Magna Seating of America, Inc.",7/20/2023,"$77,542,500 ",295,295,Expansion New Location,Haywood,4,,,"$3,000,000 ","$3,000,000 "
Microvast Power Solutions,2/10/2021,"$240,000,000 ",287,287,Recruitment,Montgomery,1,,,"$3,000,000 ","$3,000,000 "
"Portobello America, Inc.",12/3/2018,"$150,000,000 ",220,220,Recruitment,Putnam,2,,,"$3,000,000 ","$3,000,000 "
PUREGraphite LLC,6/22/2021,"$159,573,295 ",290,290,Expansion,Hamilton,1,,,"$3,000,000 ","$3,000,000 "
Science Applications International Corporation (SAIC),4/3/2017,"$2,550,000 ",180,300,Recruitment,Putnam,2,"$3,000,000 ",,,"$3,000,000 "
Textile Corporation of America,7/24/2017,"$27,100,000 ","1,000",1000,Recruitment,Bledsoe,4,,,"$3,000,000 ","$3,000,000 "
Wacker Polysilicon North America LLC,7/27/2022,"$260,000,000 ",225,225,Expansion,Bradley,2,,,"$3,000,000 ","$3,000,000 "
MAHLE Behr Dayton L.L.C,7/29/2020,"$34,000,000 ",345,345,Expansion,Rutherford,1,,,"$2,800,000 ","$2,800,000 "
In-N-Out Burgers Inc.,1/10/2023,"$125,500,000 ",277,277,Recruitment,Williamson,1,,,"$2,750,000 ","$2,750,000 "
Hankook Tire,4/13/2016,"$4,960,000 ",200,200,Expansion New Location,Davidson,1,,,"$2,715,000 ","$2,715,000 "
"Revance Therapeutics, Inc.",12/16/2020,"$10,800,000 ",263,127,Recruitment,Davidson,1,,,"$2,600,000 ","$2,600,000 "
"Adient US, LLC",4/3/2018,"$10,838,437 ",547,216,Expansion,Henderson,3,,,"$2,532,530 ","$2,532,530 "
"Monogram Refrigeration, LLC",8/14/2017,"$9,310,052 ",210,210,Expansion,McNairy,4,,,"$2,520,000 ","$2,520,000 "
"Cosma International of America, Inc.",7/20/2023,"$199,997,200 ",250,250,Expansion New Location,Lawrence,3,,,"$2,500,000 ","$2,500,000 "
Quanta Manufacturing Nashville,5/31/2022,"$30,349,040 ",546,546,Expansion New Location,Rutherford,1,,,"$2,500,000 ","$2,500,000 "
Georgia-Pacific Consumer Operations LLC,9/26/2022,"$425,000,000 ",220,220,Recruitment,Madison,2,,,"$2,400,000 ","$2,400,000 "
"DENSO Manufacturing Athens Tennessee, Inc. ",2/28/2018,"$190,000,000 ",310,320,Expansion,McMinn,3,,,"$2,325,000 ","$2,325,000 "
"AutoZone, Inc.",10/31/2019,"$191,353,960 ",130,130,Expansion New Location,Shelby,2,,,"$2,275,000 ","$2,275,000 "
Minth North America,6/13/2017,"$13,200,000 ",455,201,Recruitment,Marshall,2,,,"$2,275,000 ","$2,275,000 "
